rooms,price,flat_area,district,address,latitude,longitude,subway,prestigious
2,31399.0,163.0,Печерський,"Старонаводницька вул., 6 Б",50.42742157,30.54608727,,3
2,14000.0,90.0,Оболонський,"Героїв полку ""Азов"" вул. (Малиновського маршала), 27/23",50.50591278,30.50748444,Мінська,2
4,129290.0,260.0,Печерський,"Драгомирова вул., 11",50.40934753,30.54587746,,3
4,118208.0,290.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 37",50.42152405,30.52565956,Палац Україна,3
1,22164.0,71.0,Печерський,"Михайла Бойчука вул. (Кіквідзе), 41",50.4053154,30.55308914,,3
2,36940.0,80.0,Печерський,"Джона Маккейна вул. (Кудрі Івана), 7",50.41595459,30.53064728,Либідська,3
5,221640.0,376.0,Шевченківський,"Володимирська вул., 20",50.45384598,30.51561165,,3
4,30000.0,206.4,Печерський,"Євгена Коновальця вул. (Щорса), 32г",50.42557526,30.53094864,Палац Україна,3
3,129290.0,224.0,Печерський,"Драгомирова вул., 1-20а",50.4133873,30.54660797,,3
1,24011.0,82.0,Шевченківський,"Берестейський просп. (Перемоги), 5",50.44735336,30.48682785,,3
3,55410.0,177.0,Печерський,"Джона Маккейна вул. (Кудрі Івана), 1б",50.41460419,30.52643013,Либідська,3
1,7500.0,57.0,Дніпровський,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 24",50.45926285,30.59085083,,1
1,10500.0,68.0,Оболонський,"Петра Калнишевського вул. (Майорова Михайла), 14",50.52372742,30.46732712,,2
3,16623.0,108.0,Голосіївський,"Малокитаївська вул., 73",50.3943367,30.53014565,Деміївська,3
2,23000.0,100.0,Шевченківський,"Ростиславська  вул. (Рибалка маршала), 5б",50.45412445,30.4811039,,3
1,24000.0,77.0,Печерський,"Менделєєва вул., 19",50.41066742,30.53593636,Либідська,3
2,48022.0,130.0,Печерський,"Драгомирова вул., 20",50.40929031,30.54389763,,3
1,17000.0,72.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 26г",50.3944664,30.47302246,Васильківська,3
2,19000.0,100.0,Шевченківський,"Малопідвальна вул., 21/8",50.4495163,30.51733208,,3
3,59104.0,198.0,Печерський,"Буслівська вул., 12",50.40743637,30.55675888,,3
2,36940.0,96.0,Печерський,"Драгомирова вул., 15б",50.40810013,30.5449295,,3
3,48022.0,166.0,Печерський,"Драгомирова вул., 16",50.41067886,30.54550934,,3
3,12000.0,117.0,Шевченківський,"Деревлянська вул. (Якіра), 16",50.46502304,30.46817589,,3
3,30000.0,215.0,Солом'янський,"Лобановського просп. (Червонозоряний), 4В",50.42233276,30.4624939,,2
3,31399.0,238.0,Печерський,"Євгена Коновальця вул. (Щорса), 32Г",50.42557526,30.53094864,Палац Україна,3
3,29552.0,183.0,Печерський,"Франка Івана пл., 4",50.4458847,30.52691078,,3
1,11000.0,52.0,Дніпровський,"Каховська вул., 62а",50.46295929,30.5928688,,1
1,11000.0,52.0,Дніпровський,"Каховська вул., 62",50.46349335,30.59081841,,1
1,19000.0,91.0,Солом'янський,"Патріарха Мстислава Скрипника вул., 48 А",50.43392181,30.47941399,,2
1,11000.0,70.0,Дарницький,"Бориса Гмирі вул., 17",50.39185715,30.63508797,,1
1,19000.0,93.0,Солом'янський,"Патріарха Мстислава Скрипника вул., 48А",50.43391418,30.47864532,,2
3,33246.0,131.0,Печерський,"Бендукідзе Кахи вул., 2",50.41108704,30.54312706,,3
2,12000.0,82.0,Печерський,"Лесі Українки бульв., 19",50.42848969,30.53848457,,3
1,24990.0,92.0,Голосіївський,"Казимира Малевича вул. (Боженка), 89",50.41851044,30.5175457,Палац Україна,3
1,10500.0,67.0,Печерський,"Бастіонна вул., 5",50.4192276,30.55070686,,3
2,17000.0,95.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2д",50.48987579,30.52966881,,2
3,68339.0,240.0,Печерський,"Драгомирова вул., 14",50.41180038,30.54562759,,3
4,66492.0,228.0,Печерський,"Драгомирова вул., 9",50.41012192,30.54658699,,3
3,18000.0,204.9,Солом'янський,"Вузівська вул., 5",50.42461395,30.46537781,,2
2,33246.0,95.0,Печерський,"Драгомирова вул., 19б",50.4071579,30.54362679,,3
2,27000.0,135.0,Печерський,"Панаса Мирного вул., 28А",50.43444061,30.53705788,,3
2,44328.0,102.0,Печерський,"Драгомирова вул., 17",50.43330002,30.51670074,Площа Льва Толстого,3
4,129290.0,235.0,Печерський,"Городецького архітектора вул., 17/1",50.44685745,30.52747154,,3
2,15800.0,85.0,Печерський,"Печерський узвiз, 11",50.43670273,30.53492928,,3
3,29552.0,158.0,Подільський,"Щекавицька вул., 53",50.47279739,30.51597214,Контрактова площа,3
2,36940.0,138.0,Печерський,"Євгена Коновальця вул. (Щорса), 36В",50.42510986,30.53247452,,3
2,26000.0,102.0,Печерський,"Інститутська вул., 18",50.44578934,30.53154945,,3
2,33246.0,98.0,Печерський,"Предславинська вул., 44",50.41580963,30.52567291,Либідська,3
2,12000.0,111.0,Голосіївський,"Глушкова академіка просп., 9в",50.3710556,30.46410942,Іподром,3
3,14000.0,149.5,Дарницький,"Вишняківська вул., 7А",50.39370346,30.64786339,,1
1,28000.0,78.0,Шевченківський,"Бульварно-Кудрявська вул. (Воровського), 15б",50.45286179,30.50278282,,3
2,15000.0,109.0,Печерський,"Михайла Омеляновича-Павленка вул. (Суворова), 13",50.43634415,30.54730988,,3
3,14500.0,192.0,Оболонський,"Балтійський пров., 3",50.49781036,30.46753502,,2
1,14000.0,62.0,Печерський,"Підвисоцького професора вул., 16",50.41526413,30.55179024,,3
2,49869.0,127.0,Печерський,"Євгена Коновальця вул. (Щорса), 26-А",50.42743301,30.53043365,,3
2,31399.0,151.0,Печерський,"Лесі Українки бульв., 7Б",50.43268585,30.53344536,,3
4,59104.0,260.0,Шевченківський,"Глибочицька вул., 32в",50.46211243,30.49295616,,3
4,110820.0,440.0,Шевченківський,"Юрія Іллєнка вул. (Мельникова), 18б",50.46657944,30.47665596,,3
1,16000.0,67.0,Голосіївський,"Саксаганського вул., 82",50.44071579,30.50070572,,3
2,35000.0,190.0,Печерський,"Звіринецька вул., 59",50.40776825,30.55524063,,3
1,9500.0,64.0,Оболонський,"Героїв Дніпра вул., 22а",50.52141571,30.49538994,Героїв Дніпра,2
1,28000.0,75.0,Шевченківський,"Бульварно-Кудрявська вул. (Воровського), 17",50.4528923,30.50244522,,3
2,40634.0,75.0,Голосіївський,"Антоновича вул. (Горького), 44",50.43367767,30.51318169,Олімпійська,3
2,16000.0,141.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 3г",50.39196777,30.47987175,Васильківська,3
2,12500.0,119.0,Дарницький,"Григоренка Петра просп., 20А",50.40975189,30.62412643,,1
2,36940.0,167.0,Подільський,"Дегтярна вул., 29",50.45811081,30.50992203,Контрактова площа,3
1,8500.0,59.0,Оболонський,"Оболонський просп., 16б",50.50774002,30.50016403,Мінська,2
2,18470.0,89.0,Голосіївський,"Наддніпрянське шосе, 2",50.39185715,30.55728912,,3
2,29552.0,114.0,Печерський,"Хрещатик вул., 21",50.44615555,30.52227402,,3
2,9000.0,93.0,Святошинський,"Ушакова Миколи вул., 34",,,,2
1,12000.0,71.0,Дніпровський,"Регенераторна вул., 4к5",50.43530273,30.62112999,,1
1,13000.0,90.0,Подільський,"Ярославська вул., 26",50.46885681,30.51366615,Тараса Шевченка,3
1,17500.0,94.0,Голосіївський,"Теремківська вул., 3 а",50.37120438,30.4552021,Теремки,3
2,6500.0,82.0,Дніпровський,"Русанівська набережна вул., 12",50.4357872,30.59214783,,1
1,14000.0,89.0,Шевченківський,"Тбіліський пров., 1",50.45355606,30.46588516,,3
