rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
1,18000.0,81.0,Дарницький,"Зарічна вул., 4/2",,1,Slavutych,"50.3942606, 30.6048644",1090.0,14 mins,837.0,"50.3956871,30.60478783",1.1,14.0
3,27500.0,202.0,Шевченківський,"Дмитрівська вул., 80",,3,Lukianivska,"50.46114710000001, 30.48363239999999",937.0,12 mins,702.0,"50.45464706,30.48830605",0.9,12.0
2,24000.0,116.0,Дарницький,"Зарічна вул., 4 к2",,1,Slavutych,"50.3942606, 30.6048644",1089.0,14 mins,836.0,"50.39554596,30.60493088",1.1,14.0
2,22164.0,143.0,Солом'янський,"Солом'янська пл., 15А",,2,Vokzalna,"50.44133530000001, 30.489963",1934.0,23 mins,1376.0,"50.43198776,30.47261429",1.9,23.0
2,27000.0,77.0,Дарницький,"Зарічна вул., 4к1",,1,Slavutych,"50.3942606, 30.6048644",1034.0,13 mins,798.0,"50.39575195,30.60361671",1.0,13.0
4,25000.0,270.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 12е",Мінська,2,Obolon,"50.5015363, 30.4982311",1460.0,18 mins,1093.0,"50.50627899,30.5133152",1.5,18.0
1,17000.0,62.0,Печерський,"Мечникова вул., 8",,3,Klovska,"50.4369687, 30.531807",104.0,1 min,85.0,"50.43680573,30.52997208",0.1,1.0
1,16000.0,62.0,Голосіївський,"Саксаганського вул., 89",,3,Universytet,"50.4432683, 30.5046312",754.0,10 mins,613.0,"50.43921661,30.50169563",0.8,10.0
1,9000.0,56.0,Дніпровський,"Будівельників вул., 5",,1,Darnytsia,"50.455958, 30.61296999999999",2639.0,33 mins,2009.0,"50.44483185,30.62238121",2.6,33.0
2,16000.0,96.0,Шевченківський,"Берестейський просп. (Перемоги), 20",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1118.0,16 mins,975.0,"50.45036697,30.47363281",1.1,16.0
2,13000.0,118.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 22-26",Олімпійська,3,Palats Ukraina,"50.4214131, 30.5207637",693.0,8 mins,473.0,"50.42534637,30.52252007",0.7,8.0
2,11000.0,115.5,Солом'янський,"Карела Чапека вул. (Фучіка Юліуса), 8",,2,Vokzalna,"50.44133530000001, 30.489963",1819.0,22 mins,1319.0,"50.44012451,30.47228241",1.8,22.0
2,11500.0,95.0,Шевченківський,"Щусєва академіка вул., 12",,3,Dorohozhychi,"50.4735721, 30.4487602",488.0,6 mins,371.0,"50.47447968,30.44495964",0.5,6.0
2,14900.0,94.0,Солом'янський,"Івана Світличного вул. (Петровського), 8",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",2837.0,36 mins,2145.0,"50.43751907,30.45431328",2.8,36.0
1,6000.0,58.0,Дніпровський,"Миропільська вул., 5",,1,Chernihivska,"50.459892, 30.63029200000001",601.0,8 mins,483.0,"50.46479416,30.62670517",0.6,8.0
