rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
2,25000.0,131.0,Голосіївський,"Рудницького Степана вул. (Вільямса академіка), 19/14",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1485.0,19 mins,1150.0,"50.38436508,30.4560318",1.5,19.0
2,15500.0,114.0,Солом'янський,"Лобановського просп. (Червонозоряний), 4в",,2,,,,,,"50.42233276,30.4624939",,0.0
1,7000.0,55.0,Оболонський,"Оболонський просп., 43",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",288.0,3 mins,207.0,"50.52085495,30.49764442",0.3,3.0
2,20000.0,117.0,Печерський,"Лесі Українки бульв., 5",,3,Klovska,"50.4369687, 30.531807",1039.0,13 mins,753.0,"50.43521118,30.53017426",1.0,13.0
3,12000.0,140.0,Дарницький,"Драгоманова вул., 25",,1,Pozniaky,"50.3978642, 30.6347451",964.0,12 mins,728.0,"50.40409088,30.63778687",1.0,12.0
2,11000.0,98.0,Голосіївський,"Саксаганського вул., 60",,3,Universytet,"50.4432683, 30.5046312",1019.0,13 mins,800.0,"50.43755722,30.50500298",1.0,13.0
3,55410.0,161.0,Печерський,"Предславинська вул., 42",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",257.0,3 mins,194.0,"50.41551208,30.5252018",0.3,3.0
2,22000.0,81.0,Печерський,"Лесі Українки бульв., 17",,3,Pecherska,"50.4272737, 30.539398",319.0,4 mins,240.0,"50.42968369,30.53692245",0.3,4.0
1,6500.0,62.0,Дніпровський,"Вершигори Петра вул., 1",,1,Livoberezhna,"50.451864, 30.59815699999999",6190.0,1 hour 17 mins,4605.0,"50.49303818,30.57640648",6.2,77.0
3,44328.0,140.0,Печерський,"Хрещатик вул., 23",,3,Khreshchatyk,"50.4473449, 30.5227597",423.0,6 mins,342.0,"50.44501495,30.52206039",0.4,6.0
1,17000.0,70.0,Шевченківський,"Гоголевская, 27",,3,Lukianivska,"50.46114710000001, 30.48363239999999",916.0,12 mins,733.0,"50.45363235,30.4850769",0.9,12.0
1,15000.0,45.0,Дарницький,"Осокорська вул., 2а",,1,Slavutych,"50.3942606, 30.6048644",1486.0,19 mins,1115.0,"50.39749146,30.59981918",1.5,19.0
1,13500.0,68.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 26б",Васильківська,3,Vasylkivska,"50.393331, 30.488194",1185.0,15 mins,880.0,"50.39363098,30.47339249",1.2,15.0
2,55410.0,138.0,Подільський,"Набережно-Рибальська дорога вул., 9",,3,Kontraktova ploshcha,"50.4659213, 30.5150353",2727.0,35 mins,2075.0,"50.48041534,30.53529167",2.7,35.0
1,18000.0,90.0,Печерський,"Миколи Міхновського бульв. (Дружби Народів), 14-16",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",944.0,13 mins,760.0,"50.4140358,30.53945923",0.9,13.0
4,84962.0,300.0,Печерський,"Євгена Коновальця вул. (Щорса), 32б",,3,Pecherska,"50.4272737, 30.539398",949.0,13 mins,752.0,"50.42583847,30.5324955",0.9,13.0
3,22000.0,170.0,Шевченківський,"Велика Васильківська вул., 20",Площа Льва Толстого,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",127.0,2 mins,92.0,"50.43981171,30.51712227",0.1,2.0
2,36903.06,84.0,Оболонський,"Оболонський просп., 26",Мінська,2,Minska,"50.51224200000001, 30.498551",411.0,5 mins,307.0,"50.5135994,30.50030136",0.4,5.0
4,48022.0,217.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2",,2,Pochaina,"50.486079, 30.49784800000001",2889.0,36 mins,2132.0,"50.4899559,30.5285511",2.9,36.0
3,33246.0,234.0,Печерський,"Ковпака вул., 17",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",514.0,7 mins,438.0,"50.41722488,30.52476311",0.5,7.0
2,19000.0,124.0,Шевченківський,"Софіївська вул., 2",Майдан Незалежності,3,Khreshchatyk,"50.4473449, 30.5227597",734.0,9 mins,539.0,"50.45160675,30.51980972",0.7,9.0
3,55410.0,155.0,Печерський,"Лесі Українки бульв., 7В",,3,Klovska,"50.4369687, 30.531807",691.0,9 mins,534.0,"50.43465805,30.53124046",0.7,9.0
2,19000.0,118.0,Шевченківський,"Софіївська вул., 4",Майдан Незалежності,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",687.0,10 mins,571.0,"50.45163727,30.52116394",0.7,10.0
3,33246.0,207.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 71",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",783.0,10 mins,580.0,"50.38745499,30.4716835",0.8,10.0
2,25000.0,110.0,Голосіївський,"Льва Толстого вул., 33",,3,Universytet,"50.4432683, 30.5046312",442.0,6 mins,387.0,"50.44133377,30.50233269",0.4,6.0
2,16000.0,97.0,Шевченківський,"Пирогова вул., 2",,3,Universytet,"50.4432683, 30.5046312",407.0,6 mins,370.0,"50.44577408,30.50615883",0.4,6.0
1,17000.0,109.0,Голосіївський,"Жилянська вул., 59",,3,Universytet,"50.4432683, 30.5046312",1010.0,14 mins,853.0,"50.43771744,30.49960899",1.0,14.0
2,27705.0,100.0,Шевченківський,"Берестейський просп. (Перемоги), 5-В",,3,Vokzalna,"50.44133530000001, 30.489963",1125.0,14 mins,866.0,"50.4465332,30.48665428",1.1,14.0
2,29552.0,107.0,Шевченківський,"Глибочицька вул., 73",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1122.0,14 mins,858.0,"50.46321487,30.50396919",1.1,14.0
2,17500.0,80.0,Подільський,"Правди просп., 41а",,3,Syrets,"50.47676180000001, 30.4327791",3980.0,49 mins,2947.0,"50.50221252,30.42772102",4.0,49.0
3,13000.0,121.0,Шевченківський,"Берестейський просп. (Перемоги), 19",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",1073.0,15 mins,907.0,"50.44892502,30.47268295",1.1,15.0
2,59104.0,124.0,Печерський,"Євгена Коновальця вул. (Щорса), 26а",,3,Pecherska,"50.4272737, 30.539398",834.0,11 mins,669.0,"50.42743301,30.53043365",0.8,11.0
2,25000.0,130.0,Солом'янський,"Новопольова вул., 2",,2,Shuliavska,"50.45422809999999, 30.44862209999999",3720.0,47 mins,2819.0,"50.43251038,30.44280243",3.7,47.0
1,13000.0,100.0,Солом'янський,"Гарматна вул., 37а",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2264.0,28 mins,1694.0,"50.44474411,30.43234634",2.3,28.0
5,36940.0,550.0,Дніпровський,"Окіпної Раїси вул., 10",,1,Livoberezhna,"50.451864, 30.59815699999999",875.0,11 mins,656.0,"50.44779968,30.59031296",0.9,11.0
2,36940.0,134.0,Подільський,"Дегтярна вул., 6",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1411.0,18 mins,1068.0,"50.45929718,30.51029205",1.4,18.0
3,29552.0,236.0,Печерський,"Старонаводницька вул., 6",,3,Pecherska,"50.4272737, 30.539398",1105.0,15 mins,875.0,"50.42844391,30.54623985",1.1,15.0
2,12000.0,148.0,Святошинський,"Палладіна академіка просп., 25",,2,Akademmistechko,"50.4649376, 30.3550961",300.0,4 mins,229.0,"50.46718216,30.35410118",0.3,4.0
1,10000.0,62.0,Оболонський,"Оболонський просп., 27 А",Героїв Дніпра,2,Minska,"50.51224200000001, 30.498551",779.0,10 mins,571.0,"50.51703262,30.49590874",0.8,10.0
1,15000.0,67.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 24б",Васильківська,3,Vasylkivska,"50.393331, 30.488194",1133.0,14 mins,848.0,"50.39334106,30.4744854",1.1,14.0
2,36940.0,160.0,Печерський,"Кловський узвiз, 7",,3,Klovska,"50.4369687, 30.531807",605.0,7 mins,421.0,"50.43837738,30.53880501",0.6,7.0
2,40634.0,148.0,Шевченківський,"Жилянська вул., 118",,3,Vokzalna,"50.44133530000001, 30.489963",618.0,8 mins,478.0,"50.44173431,30.49664307",0.6,8.0
2,20000.0,110.0,Шевченківський,"Львівська пл., 4",,3,Kontraktova ploshcha,"50.4659213, 30.5150353",2135.0,26 mins,1589.0,"50.45584869,30.50724792",2.1,26.0
2,51716.0,134.0,Печерський,"Джона Маккейна вул. (Кудрі Івана), 1",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",156.0,2 mins,107.0,"50.41391373,30.52643967",0.2,2.0
2,23000.0,106.0,Шевченківський,"Сікорського Ігоря вул. (Танкова), 4д",,3,Beresteiska,"50.4593178, 30.4186364",1132.0,14 mins,858.0,"50.4651947,30.42817307",1.1,14.0
1,3700.0,44.0,Оболонський,"Богатирська вул., 14",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",1188.0,14 mins,864.0,"50.52167892,30.48723221",1.2,14.0
3,30000.0,156.0,Печерський,"Лесі Українки бульв., 24",,3,Pecherska,"50.4272737, 30.539398",497.0,7 mins,395.0,"50.43009186,30.53510284",0.5,7.0
3,55410.0,222.0,Печерський,"Драгомирова вул., 7",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",913.0,13 mins,780.0,"50.4109726,30.54658699",0.9,13.0
1,38787.0,115.0,Печерський,"Іоана Павла II вул. (Лумумби Патріса), 6",,3,Palats Ukraina,"50.4214131, 30.5207637",859.0,10 mins,574.0,"50.42055893,30.53048134",0.9,10.0
1,14999.0,63.0,Дарницький,"Осокорська вул., 2А",,1,Slavutych,"50.3942606, 30.6048644",1486.0,19 mins,1115.0,"50.39749146,30.59981918",1.5,19.0
4,19000.0,200.0,Дніпровський,"Євгена Сверстюка вул. (Раскової Марини), 52В",,1,Livoberezhna,"50.451864, 30.59815699999999",1388.0,18 mins,1055.0,"50.44324112,30.60582733",1.4,18.0
1,16623.0,45.0,Печерський,"Драгомирова вул., 15",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1259.0,17 mins,1039.0,"50.40879059,30.5449543",1.3,17.0
1,15000.0,74.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 28б",Васильківська,3,Vasylkivska,"50.393331, 30.488194",1062.0,13 mins,791.0,"50.39270782,30.47445488",1.1,13.0
2,31399.0,85.0,Шевченківський,"Златоустівська вул., 30",Майдан Незалежності,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",379.0,6 mins,384.0,"50.45009995,30.52339935",0.4,6.0
2,25000.0,195.0,Шевченківський,"Гончара Олеся вул., 30 А",,3,Zoloti vorota,"50.445809, 30.515155",1231.0,15 mins,877.0,"50.45138168,30.5061264",1.2,15.0
3,24000.0,146.0,Солом'янський,"Патріарха Мстислава Скрипника вул., 48а",,2,Vokzalna,"50.44133530000001, 30.489963",1713.0,20 mins,1202.0,"50.43392181,30.47941399",1.7,20.0
2,31399.0,153.0,Печерський,"Старонаводницька вул., 6б",,3,Pecherska,"50.4272737, 30.539398",997.0,13 mins,805.0,"50.42742157,30.54608727",1.0,13.0
2,12000.0,115.0,Голосіївський,"Тарасівська вул., 20",Площа Льва Толстого,3,Universytet,"50.4432683, 30.5046312",1030.0,14 mins,855.0,"50.43723297,30.50668144",1.0,14.0
1,15000.0,65.0,Дарницький,"Осокорська вул., 2 А",,1,Slavutych,"50.3942606, 30.6048644",1486.0,19 mins,1115.0,"50.39749146,30.59981918",1.5,19.0
2,25858.0,80.0,Дарницький,"Зарічна вул., 1б",,1,Slavutych,"50.3942606, 30.6048644",1434.0,18 mins,1081.0,"50.39595032,30.59964752",1.4,18.0
2,23000.0,134.0,Деснянський,"Радистів вул., 14",,1,Lisova,"50.4646598, 30.64556570000001",2738.0,34 mins,2027.0,"50.47623062,30.67006874",2.7,34.0
2,15000.0,108.0,Солом'янський,"Гетьмана Вадима вул., 1Б",,2,Shuliavska,"50.45422809999999, 30.44862209999999",1274.0,17 mins,1007.0,"50.45246506,30.44579124",1.3,17.0
2,31399.0,163.0,Печерський,"Старонаводницька вул., 6 Б",,3,Pecherska,"50.4272737, 30.539398",997.0,13 mins,805.0,"50.42742157,30.54608727",1.0,13.0
2,14000.0,90.0,Оболонський,"Героїв полку ""Азов"" вул. (Малиновського маршала), 27/23",Мінська,2,Obolon,"50.5015363, 30.4982311",1046.0,13 mins,784.0,"50.50591278,30.50748444",1.0,13.0
4,129290.0,260.0,Печерський,"Драгомирова вул., 11",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1191.0,16 mins,989.0,"50.40934753,30.54587746",1.2,16.0
4,118208.0,290.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 37",Палац Україна,3,Palats Ukraina,"50.4214131, 30.5207637",386.0,4 mins,261.0,"50.42152405,30.52565956",0.4,4.0
1,22164.0,71.0,Печерський,"Михайла Бойчука вул. (Кіквідзе), 41",,3,Vydubychi,"50.401822, 30.56048799999999",2565.0,32 mins,1896.0,"50.4053154,30.55308914",2.6,32.0
2,36940.0,80.0,Печерський,"Джона Маккейна вул. (Кудрі Івана), 7",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",762.0,9 mins,521.0,"50.41595459,30.53064728",0.8,9.0
5,221640.0,376.0,Шевченківський,"Володимирська вул., 20",,3,Poshtova ploshcha,"50.45926900000001, 30.524412",1195.0,18 mins,1079.0,"50.45384598,30.51561165",1.2,18.0
4,30000.0,206.4,Печерський,"Євгена Коновальця вул. (Щорса), 32г",Палац Україна,3,Pecherska,"50.4272737, 30.539398",904.0,13 mins,752.0,"50.42557526,30.53094864",0.9,13.0
3,129290.0,224.0,Печерський,"Драгомирова вул., 1-20а",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",640.0,9 mins,553.0,"50.4133873,30.54660797",0.6,9.0
1,24011.0,82.0,Шевченківський,"Берестейський просп. (Перемоги), 5",,3,Vokzalna,"50.44133530000001, 30.489963",1194.0,15 mins,918.0,"50.44735336,30.48682785",1.2,15.0
3,55410.0,177.0,Печерський,"Джона Маккейна вул. (Кудрі Івана), 1б",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",66.0,1 min,46.0,"50.41460419,30.52643013",66 m,1.0
1,7500.0,57.0,Дніпровський,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 24",,1,Livoberezhna,"50.451864, 30.59815699999999",1012.0,12 mins,742.0,"50.45926285,30.59085083",1.0,12.0
1,10500.0,68.0,Оболонський,"Петра Калнишевського вул. (Майорова Михайла), 14",,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",3402.0,42 mins,2538.0,"50.52372742,30.46732712",3.4,42.0
3,16623.0,108.0,Голосіївський,"Малокитаївська вул., 73",Деміївська,3,Demiivska,"50.404788, 30.516868",1893.0,22 mins,1346.0,"50.3943367,30.53014565",1.9,22.0
2,23000.0,100.0,Шевченківський,"Ростиславська  вул. (Рибалка маршала), 5б",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1556.0,19 mins,1168.0,"50.45412445,30.4811039",1.6,19.0
1,24000.0,77.0,Печерський,"Менделєєва вул., 19",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",1515.0,19 mins,1138.0,"50.41066742,30.53593636",1.5,19.0
2,48022.0,130.0,Печерський,"Драгомирова вул., 20",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1355.0,18 mins,1099.0,"50.40929031,30.54389763",1.4,18.0
1,17000.0,72.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 26г",Васильківська,3,Vasylkivska,"50.393331, 30.488194",1317.0,17 mins,996.0,"50.3944664,30.47302246",1.3,17.0
2,19000.0,100.0,Шевченківський,"Малопідвальна вул., 21/8",,3,Zoloti vorota,"50.445809, 30.515155",719.0,9 mins,510.0,"50.4495163,30.51733208",0.7,9.0
3,59104.0,198.0,Печерський,"Буслівська вул., 12",,3,Vydubychi,"50.401822, 30.56048799999999",2485.0,30 mins,1806.0,"50.40743637,30.55675888",2.5,30.0
2,36940.0,96.0,Печерський,"Драгомирова вул., 15б",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1316.0,18 mins,1080.0,"50.40810013,30.5449295",1.3,18.0
3,48022.0,166.0,Печерський,"Драгомирова вул., 16",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",996.0,14 mins,825.0,"50.41067886,30.54550934",1.0,14.0
3,12000.0,117.0,Шевченківський,"Деревлянська вул. (Якіра), 16",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1402.0,17 mins,1008.0,"50.46502304,30.46817589",1.4,17.0
3,30000.0,215.0,Солом'янський,"Лобановського просп. (Червонозоряний), 4В",,2,,,,,,"50.42233276,30.4624939",,0.0
3,31399.0,238.0,Печерський,"Євгена Коновальця вул. (Щорса), 32Г",Палац Україна,3,Pecherska,"50.4272737, 30.539398",904.0,13 mins,752.0,"50.42557526,30.53094864",0.9,13.0
3,29552.0,183.0,Печерський,"Франка Івана пл., 4",,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",312.0,4 mins,233.0,"50.4458847,30.52691078",0.3,4.0
1,11000.0,52.0,Дніпровський,"Каховська вул., 62а",,1,Livoberezhna,"50.451864, 30.59815699999999",1519.0,19 mins,1114.0,"50.46295929,30.5928688",1.5,19.0
1,11000.0,52.0,Дніпровський,"Каховська вул., 62",,1,Livoberezhna,"50.451864, 30.59815699999999",1513.0,18 mins,1109.0,"50.46349335,30.59081841",1.5,18.0
1,19000.0,91.0,Солом'янський,"Патріарха Мстислава Скрипника вул., 48 А",,2,Vokzalna,"50.44133530000001, 30.489963",1713.0,20 mins,1202.0,"50.43392181,30.47941399",1.7,20.0
1,11000.0,70.0,Дарницький,"Бориса Гмирі вул., 17",,1,Pozniaky,"50.3978642, 30.6347451",956.0,12 mins,730.0,"50.39185715,30.63508797",1.0,12.0
1,19000.0,93.0,Солом'янський,"Патріарха Мстислава Скрипника вул., 48А",,2,Vokzalna,"50.44133530000001, 30.489963",1724.0,20 mins,1210.0,"50.43391418,30.47864532",1.7,20.0
3,33246.0,131.0,Печерський,"Бендукідзе Кахи вул., 2",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1027.0,14 mins,843.0,"50.41108704,30.54312706",1.0,14.0
2,12000.0,82.0,Печерський,"Лесі Українки бульв., 19",,3,Pecherska,"50.4272737, 30.539398",398.0,5 mins,305.0,"50.42848969,30.53848457",0.4,5.0
1,24990.0,92.0,Голосіївський,"Казимира Малевича вул. (Боженка), 89",Палац Україна,3,Palats Ukraina,"50.4214131, 30.5207637",592.0,8 mins,489.0,"50.41851044,30.5175457",0.6,8.0
1,10500.0,67.0,Печерський,"Бастіонна вул., 5",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",618.0,9 mins,519.0,"50.4192276,30.55070686",0.6,9.0
2,17000.0,95.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2д",,2,Pochaina,"50.486079, 30.49784800000001",2981.0,37 mins,2198.0,"50.48987579,30.52966881",3.0,37.0
3,68339.0,240.0,Печерський,"Драгомирова вул., 14",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",872.0,12 mins,737.0,"50.41180038,30.54562759",0.9,12.0
4,66492.0,228.0,Печерський,"Драгомирова вул., 9",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1078.0,15 mins,901.0,"50.41012192,30.54658699",1.1,15.0
3,18000.0,204.9,Солом'янський,"Вузівська вул., 5",,2,Vokzalna,"50.44133530000001, 30.489963",3209.0,38 mins,2302.0,"50.42461395,30.46537781",3.2,38.0
2,33246.0,95.0,Печерський,"Драгомирова вул., 19б",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1798.0,25 mins,1509.0,"50.4071579,30.54362679",1.8,25.0
2,27000.0,135.0,Печерський,"Панаса Мирного вул., 28А",,3,Klovska,"50.4369687, 30.531807",594.0,9 mins,522.0,"50.43444061,30.53705788",0.6,9.0
2,44328.0,102.0,Печерський,"Драгомирова вул., 17",Площа Льва Толстого,3,Olimpiiska,"50.4312893, 30.5168687",303.0,4 mins,232.0,"50.43330002,30.51670074",0.3,4.0
4,129290.0,235.0,Печерський,"Городецького архітектора вул., 17/1",,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",271.0,4 mins,214.0,"50.44685745,30.52747154",0.3,4.0
2,15800.0,85.0,Печерський,"Печерський узвiз, 11",,3,Klovska,"50.4369687, 30.531807",290.0,4 mins,230.0,"50.43670273,30.53492928",0.3,4.0
3,29552.0,158.0,Подільський,"Щекавицька вул., 53",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1112.0,15 mins,882.0,"50.47279739,30.51597214",1.1,15.0
2,36940.0,138.0,Печерський,"Євгена Коновальця вул. (Щорса), 36В",,3,Pecherska,"50.4272737, 30.539398",888.0,12 mins,710.0,"50.42510986,30.53247452",0.9,12.0
2,26000.0,102.0,Печерський,"Інститутська вул., 18",,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",1083.0,13 mins,791.0,"50.44578934,30.53154945",1.1,13.0
2,33246.0,98.0,Печерський,"Предславинська вул., 44",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",299.0,4 mins,223.0,"50.41580963,30.52567291",0.3,4.0
2,12000.0,111.0,Голосіївський,"Глушкова академіка просп., 9в",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",872.0,11 mins,664.0,"50.3710556,30.46410942",0.9,11.0
3,14000.0,149.5,Дарницький,"Вишняківська вул., 7А",,1,Kharkivska,"50.40067610000001, 30.6520895",1102.0,15 mins,912.0,"50.39370346,30.64786339",1.1,15.0
1,28000.0,78.0,Шевченківський,"Бульварно-Кудрявська вул. (Воровського), 15б",,3,Universytet,"50.4432683, 30.5046312",1518.0,20 mins,1197.0,"50.45286179,30.50278282",1.5,20.0
2,15000.0,109.0,Печерський,"Михайла Омеляновича-Павленка вул. (Суворова), 13",,3,Arsenalna,"50.4430624, 30.54715739999999",988.0,13 mins,770.0,"50.43634415,30.54730988",1.0,13.0
3,14500.0,192.0,Оболонський,"Балтійський пров., 3",,2,Obolon,"50.5015363, 30.4982311",4551.0,57 mins,3396.0,"50.49781036,30.46753502",4.6,57.0
1,14000.0,62.0,Печерський,"Підвисоцького професора вул., 16",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",481.0,7 mins,422.0,"50.41526413,30.55179024",0.5,7.0
2,49869.0,127.0,Печерський,"Євгена Коновальця вул. (Щорса), 26-А",,3,Pecherska,"50.4272737, 30.539398",834.0,11 mins,669.0,"50.42743301,30.53043365",0.8,11.0
2,31399.0,151.0,Печерський,"Лесі Українки бульв., 7Б",,3,Klovska,"50.4369687, 30.531807",558.0,7 mins,433.0,"50.43268585,30.53344536",0.6,7.0
4,59104.0,260.0,Шевченківський,"Глибочицька вул., 32в",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1388.0,19 mins,1157.0,"50.46211243,30.49295616",1.4,19.0
4,110820.0,440.0,Шевченківський,"Юрія Іллєнка вул. (Мельникова), 18б",,3,Lukianivska,"50.46114710000001, 30.48363239999999",953.0,12 mins,721.0,"50.46657944,30.47665596",1.0,12.0
1,16000.0,67.0,Голосіївський,"Саксаганського вул., 82",,3,Universytet,"50.4432683, 30.5046312",554.0,8 mins,480.0,"50.44071579,30.50070572",0.6,8.0
2,35000.0,190.0,Печерський,"Звіринецька вул., 59",,3,Vydubychi,"50.401822, 30.56048799999999",2685.0,32 mins,1919.0,"50.40776825,30.55524063",2.7,32.0
1,9500.0,64.0,Оболонський,"Героїв Дніпра вул., 22а",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",373.0,4 mins,268.0,"50.52141571,30.49538994",0.4,4.0
1,28000.0,75.0,Шевченківський,"Бульварно-Кудрявська вул. (Воровського), 17",,3,Universytet,"50.4432683, 30.5046312",1496.0,20 mins,1182.0,"50.4528923,30.50244522",1.5,20.0
2,40634.0,75.0,Голосіївський,"Антоновича вул. (Горького), 44",Олімпійська,3,Olimpiiska,"50.4312893, 30.5168687",582.0,7 mins,431.0,"50.43367767,30.51318169",0.6,7.0
2,16000.0,141.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 3г",Васильківська,3,Vasylkivska,"50.393331, 30.488194",809.0,10 mins,608.0,"50.39196777,30.47987175",0.8,10.0
2,12500.0,119.0,Дарницький,"Григоренка Петра просп., 20А",,1,Pozniaky,"50.3978642, 30.6347451",1894.0,24 mins,1436.0,"50.40975189,30.62412643",1.9,24.0
2,36940.0,167.0,Подільський,"Дегтярна вул., 29",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",1506.0,19 mins,1131.0,"50.45811081,30.50992203",1.5,19.0
1,8500.0,59.0,Оболонський,"Оболонський просп., 16б",Мінська,2,Minska,"50.51224200000001, 30.498551",845.0,11 mins,686.0,"50.50774002,30.50016403",0.8,11.0
2,18470.0,89.0,Голосіївський,"Наддніпрянське шосе, 2",,3,Vydubychi,"50.401822, 30.56048799999999",1936.0,24 mins,1419.0,"50.39185715,30.55728912",1.9,24.0
2,29552.0,114.0,Печерський,"Хрещатик вул., 21",,3,Khreshchatyk,"50.4473449, 30.5227597",136.0,2 mins,114.0,"50.44615555,30.52227402",0.1,2.0
2,9000.0,93.0,Святошинський,"Ушакова Миколи вул., 34",,2,,,,,,"nan,nan",,0.0
1,12000.0,71.0,Дніпровський,"Регенераторна вул., 4к5",,1,Darnytsia,"50.455958, 30.61296999999999",3823.0,48 mins,2881.0,"50.43530273,30.62112999",3.8,48.0
1,13000.0,90.0,Подільський,"Ярославська вул., 26",Тараса Шевченка,3,Kontraktova ploshcha,"50.4659213, 30.5150353",532.0,7 mins,447.0,"50.46885681,30.51366615",0.5,7.0
1,17500.0,94.0,Голосіївський,"Теремківська вул., 3 а",Теремки,3,Teremky,"50.3671113, 30.4541397",638.0,9 mins,526.0,"50.37120438,30.4552021",0.6,9.0
2,6500.0,82.0,Дніпровський,"Русанівська набережна вул., 12",,1,Hidropark,"50.445978, 30.576884",2859.0,35 mins,2093.0,"50.4357872,30.59214783",2.9,35.0
1,14000.0,89.0,Шевченківський,"Тбіліський пров., 1",,3,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",916.0,13 mins,792.0,"50.45355606,30.46588516",0.9,13.0
2,7000.0,123.2,Дніпровський,"Космічна вул., 5",,1,Chernihivska,"50.459892, 30.63029200000001",1251.0,16 mins,943.0,"50.46745682,30.62234688",1.3,16.0
1,8500.0,55.0,Подільський,"Свободи просп., 26а",,3,Syrets,"50.47676180000001, 30.4327791",5672.0,1 hour 10 mins,4223.0,"50.51399231,30.42404747",5.7,70.0
3,59104.0,173.0,Печерський,"Князів Острозьких вул. (Московська), 5/2б",,3,Arsenalna,"50.4430624, 30.54715739999999",482.0,6 mins,358.0,"50.44142532,30.54555893",0.5,6.0
1,7000.0,61.0,Дніпровський,"Романа Шухевича просп. (Ватутіна), 22",,1,Darnytsia,"50.455958, 30.61296999999999",5478.0,1 hour 8 mins,4085.0,"50.49449158,30.59181786",5.5,68.0
1,5500.0,55.0,Деснянський,"Лісовий просп., 7",,1,Chernihivska,"50.459892, 30.63029200000001",3051.0,38 mins,2304.0,"50.48046875,30.62208366",3.1,38.0
2,18500.0,105.0,Подільський,"Правди просп., 45",,3,Syrets,"50.47676180000001, 30.4327791",4408.0,54 mins,3261.0,"50.50386047,30.42358398",4.4,54.0
2,15000.0,143.0,Дарницький,"Дніпровська наб., 25",,1,Osokorky,"50.395248, 30.616231",1279.0,18 mins,1064.0,"50.40593338,30.61441803",1.3,18.0
2,11000.0,81.0,Дніпровський,"Русанівський бульв., 9",,1,Livoberezhna,"50.451864, 30.59815699999999",1791.0,23 mins,1376.0,"50.43930054,30.59513664",1.8,23.0
