rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
4,84962.0,300.0,Печерський,"Євгена Коновальця вул. (Щорса), 32б",,3,Pecherska,"50.4272737, 30.539398",0.9 km,949.0,13 mins,752.0,"50.42583847,30.5324955"
3,22000.0,170.0,Шевченківський,"Велика Васильківська вул., 20",Площа Льва Толстого,3,Ploshcha Lva Tolstogo,"50.4401898, 30.5183801",0.1 km,127.0,2 mins,92.0,"50.43981171,30.51712227"
2,36903.06,84.0,Оболонський,"Оболонський просп., 26",Мінська,2,Minska,"50.51224200000001, 30.498551",0.4 km,411.0,5 mins,307.0,"50.5135994,30.50030136"
4,48022.0,217.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2",,2,Pochaina,"50.486079, 30.49784800000001",2.9 km,2889.0,36 mins,2132.0,"50.4899559,30.5285511"
3,33246.0,234.0,Печерський,"Ковпака вул., 17",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",0.5 km,514.0,7 mins,438.0,"50.41722488,30.52476311"
2,19000.0,124.0,Шевченківський,"Софіївська вул., 2",Майдан Незалежності,3,Khreshchatyk,"50.4473449, 30.5227597",0.7 km,734.0,9 mins,539.0,"50.45160675,30.51980972"
3,55410.0,155.0,Печерський,"Лесі Українки бульв., 7В",,3,Klovska,"50.4369687, 30.531807",0.7 km,691.0,9 mins,534.0,"50.43465805,30.53124046"
2,19000.0,118.0,Шевченківський,"Софіївська вул., 4",Майдан Незалежності,3,Maidan Nezalezhnosti,"50.4481226, 30.5250038",0.7 km,687.0,10 mins,571.0,"50.45163727,30.52116394"
3,33246.0,207.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 71",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",0.8 km,783.0,10 mins,580.0,"50.38745499,30.4716835"
2,25000.0,110.0,Голосіївський,"Льва Толстого вул., 33",,3,Universytet,"50.4432683, 30.5046312",0.4 km,442.0,6 mins,387.0,"50.44133377,30.50233269"
2,16000.0,97.0,Шевченківський,"Пирогова вул., 2",,3,Universytet,"50.4432683, 30.5046312",0.4 km,407.0,6 mins,370.0,"50.44577408,30.50615883"
1,17000.0,109.0,Голосіївський,"Жилянська вул., 59",,3,Universytet,"50.4432683, 30.5046312",1.0 km,1010.0,14 mins,853.0,"50.43771744,30.49960899"
